Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-03-26 00:33:11,2025-03-27 01:29:28,UTC-04:00,2025-03-26 19:31:30,2025-03-26 21:17:59,106,Lacrosse,11.5,669.0,165,123,53,24,2,0,0,false,,,
2025-03-25 00:01:24,2025-03-26 00:33:11,UTC-04:00,2025-03-25 19:28:30,2025-03-25 21:08:59,100,Lacrosse,10.5,612.0,169,123,73,14,1,0,0,false,,,
2025-03-23 00:28:48,2025-03-24 00:49:02,UTC-05:00,2025-03-23 09:09:00,2025-03-23 10:17:59,68,Lacrosse,10.0,478.0,164,126,48,34,2,0,0,false,,,
2025-03-22 01:02:24,2025-03-23 00:28:48,UTC-05:00,2025-03-22 16:48:00,2025-03-22 18:13:29,85,Lacrosse,10.3,508.0,165,121,46,23,4,0,0,false,,,
2025-03-20 00:52:55,2025-03-21 01:26:08,UTC-04:00,2025-03-20 16:30:00,2025-03-20 16:44:59,14,Walking,4.5,53.0,139,110,58,0,0,0,0,false,,,
2025-03-18 00:22:32,2025-03-19 00:21:09,UTC-04:00,2025-03-18 19:31:30,2025-03-18 21:11:59,100,Lacrosse,11.2,644.0,163,124,62,23,1,0,0,false,,,
2025-03-16 23:51:44,2025-03-18 00:22:32,UTC-04:00,2025-03-17 13:45:00,2025-03-17 15:05:00,80,Functional Fitness,7.3,313.0,140,111,56,0,0,0,0,false,,,
2025-03-16 01:32:37,2025-03-16 23:51:44,UTC-04:00,2025-03-16 14:33:00,2025-03-16 15:10:29,37,Walking,5.4,130.0,157,109,38,4,0,0,0,false,,,
2025-03-15 02:11:34,2025-03-16 01:32:37,UTC-04:00,2025-03-15 12:04:30,2025-03-15 12:56:59,52,Lacrosse,10.9,498.0,166,139,31,56,11,0,0,false,,,
2025-03-14 02:40:22,2025-03-15 02:11:34,UTC-04:00,2025-03-14 14:09:00,2025-03-14 14:26:59,17,Walking,4.4,45.0,125,105,31,0,0,0,0,false,,,
2025-03-14 02:40:22,2025-03-15 02:11:34,UTC-04:00,2025-03-14 12:46:41,2025-03-14 14:01:21,74,Functional Fitness,6.3,247.0,135,107,45,0,0,0,0,false,,,
2025-03-12 04:50:57,2025-03-13 01:30:08,UTC-04:00,2025-03-12 19:33:00,2025-03-12 21:59:59,146,Lacrosse,13.3,985.0,167,125,57,25,3,0,0,false,,,
2025-03-12 04:50:57,2025-03-13 01:30:08,UTC-04:00,2025-03-12 13:21:00,2025-03-12 13:44:59,23,Walking,4.8,85.0,140,109,53,0,0,0,0,false,,,
