Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-03-18 02:59:09,2025-03-19 01:07:58,UTC-04:00,2025-03-18 10:54:00,2025-03-18 11:11:59,17,Walking,4.5,41.0,145,109,22,5,0,0,0,false,,,
2025-03-14 01:29:47,2025-03-15 02:50:35,UTC-06:00,2025-03-14 16:07:30,2025-03-14 16:32:59,25,Hiking,4.8,57.0,133,109,14,0,0,0,0,false,,,
2025-03-06 02:51:51,2025-03-07 00:53:39,UTC-05:00,2025-03-06 16:07:30,2025-03-06 16:43:29,35,Walking,7.1,151.0,164,121,23,26,7,0,0,false,,,
2025-03-05 03:04:09,2025-03-06 02:51:51,UTC-05:00,2025-03-05 19:26:45,2025-03-05 20:58:08,91,Weightlifting,8.3,277.0,157,115,35,6,0,0,0,false,1978.64,153.80,-8.81
2025-03-03 01:32:35,2025-03-04 01:33:44,UTC-05:00,2025-03-03 16:45:00,2025-03-03 17:17:59,32,Walking,4.9,66.0,144,102,15,2,0,0,0,false,,,
2025-03-01 02:13:12,2025-03-02 03:48:56,UTC-05:00,2025-03-02 00:34:30,2025-03-02 01:10:29,35,Walking,6.5,139.0,155,120,36,13,1,0,0,false,,,
2025-03-01 02:13:12,2025-03-02 03:48:56,UTC-05:00,2025-03-01 08:30:00,2025-03-01 09:30:00,60,Barry's,9.8,288.0,166,125,27,31,13,0,0,false,,,
2025-03-01 02:13:12,2025-03-02 03:48:56,UTC-05:00,2025-03-01 07:49:30,2025-03-01 08:16:29,26,Walking,6.4,115.0,155,118,15,38,6,0,0,false,,,
2025-02-27 23:30:00,2025-03-01 02:13:12,UTC-05:00,2025-02-28 16:49:30,2025-02-28 17:23:59,34,Activity,5.5,97.0,150,113,27,9,0,0,0,false,,,
2025-02-27 00:21:34,2025-02-27 23:30:00,UTC-05:00,2025-02-27 16:09:05,2025-02-27 17:16:21,67,Weightlifting,6.4,168.0,149,109,27,3,0,0,0,false,1338.29,89.58,0.52
2025-02-27 00:21:34,2025-02-27 23:30:00,UTC-05:00,2025-02-27 13:07:30,2025-02-27 13:35:59,28,Walking,5.3,81.0,145,114,35,3,0,0,0,false,,,
2025-02-26 01:55:43,2025-02-27 00:21:34,UTC-05:00,2025-02-26 21:30:00,2025-02-26 22:05:59,35,Walking,6.2,130.0,150,119,40,15,0,0,0,false,,,
2025-02-26 01:55:43,2025-02-27 00:21:34,UTC-05:00,2025-02-26 20:46:38,2025-02-26 21:20:59,34,Walking,7.4,171.0,167,128,41,29,9,0,0,false,,,
2025-02-24 04:13:45,2025-02-25 01:42:41,UTC-05:00,2025-02-24 21:10:30,2025-02-24 21:40:29,29,Walking,6.6,142.0,151,127,59,27,0,0,0,false,,,
2025-02-24 04:13:45,2025-02-25 01:42:41,UTC-05:00,2025-02-24 20:15:00,2025-02-24 20:56:59,41,Running,11.2,293.0,181,142,16,26,41,10,0,false,,,
2025-02-24 04:13:45,2025-02-25 01:42:41,UTC-05:00,2025-02-24 14:09:00,2025-02-24 14:29:59,20,Activity,5.2,69.0,155,116,27,18,2,0,0,false,,,
2025-02-21 01:14:08,2025-02-22 03:26:09,UTC-05:00,2025-02-21 21:15:00,2025-02-21 22:01:18,46,Activity,10.9,318.0,168,141,11,64,24,1,0,false,,,
2025-02-04 01:35:28,2025-02-05 02:33:04,UTC-05:00,2025-02-04 16:31:56,2025-02-04 16:58:45,26,Running,11.0,220.0,191,149,12,23,33,21,11,true,3407.37,282.48,-8.78
2025-01-29 00:52:57,2025-01-30 01:12:06,UTC-05:00,2025-01-29 09:18:00,2025-01-29 10:16:29,58,Activity,13.1,426.0,180,143,19,39,31,9,0,false,,,
2025-01-23 01:46:22,2025-01-25 04:34:54,UTC-05:00,2025-01-23 15:19:30,2025-01-23 15:46:29,26,Activity,5.4,83.0,154,115,35,6,0,0,0,false,,,
2025-01-20 01:38:02,2025-01-21 00:57:10,UTC-06:00,2025-01-20 19:13:30,2025-01-20 20:52:29,98,Activity,14.5,671.0,168,140,18,42,35,1,0,false,,,
2025-01-01 02:59:37,2025-01-01 22:42:19,UTC-06:00,2025-01-01 08:57:00,2025-01-01 09:47:59,50,Walking,10.6,295.0,174,133,22,36,23,3,0,false,,,
2024-12-31 00:18:17,2025-01-01 02:59:37,UTC-06:00,2024-12-31 09:33:00,2024-12-31 11:58:29,145,Walking,10.8,468.0,157,116,21,7,1,0,0,false,,,
2024-12-30 01:35:14,2024-12-31 00:18:17,UTC-06:00,2024-12-30 12:34:30,2024-12-30 12:52:29,17,Kayaking,4.4,29.0,134,102,6,0,0,0,0,false,,,
2024-12-30 01:35:14,2024-12-31 00:18:17,UTC-06:00,2024-12-30 10:57:00,2024-12-30 11:32:59,35,Kayaking,8.9,220.0,164,135,25,51,16,0,0,false,,,
2024-12-29 01:50:27,2024-12-30 01:35:14,UTC-06:00,2024-12-29 12:02:50,2024-12-29 13:44:34,101,Weightlifting,5.3,150.0,146,94,7,1,0,0,0,false,1320.60,117.35,1.19
2024-12-20 04:02:08,2024-12-21 03:02:49,UTC-05:00,2024-12-20 12:19:30,2024-12-20 13:29:59,70,Activity,14.4,554.0,167,147,4,42,51,2,0,false,,,
2024-12-20 04:02:08,2024-12-21 03:02:49,UTC-05:00,2024-12-20 10:06:00,2024-12-20 11:02:59,56,Activity,12.3,398.0,161,141,14,59,25,0,0,false,,,
